Year 150m   200m   250m   300m
1915 33.27  33.74  34.25  34.52  
1916 NA     NA     NA     NA
1917 NA     NA     NA     NA
1918 NA     NA     NA     NA
1919 NA     NA     NA     NA
1920 NA     NA     NA     NA
1921 NA     NA     NA     NA
1922 NA     NA     NA     NA
1923 33.26  33.64  34.07  34.03 
1924 NA     NA     NA     NA
1925 NA     NA     NA     NA
1926 NA     NA     NA     NA
1927 NA     NA     NA     NA
1928 NA     NA     NA     NA
1929 NA     NA     NA     NA
1930 NA     NA     NA     NA
1931 NA     34.11  NA     34.34 
1932 NA     33.77  NA     34.46 
1933 32.68  33.94  NA     34.53 
1934 33.04  33.90  34.24  34.47 
1935 33.74  34.05  34.55  34.53 
1936 NA     NA     NA     NA
1937 33.21  33.84  NA     34.25 
1938 NA     33.86  34.18  34.51 
1939 NA     NA     NA     NA
1940 NA     NA     NA     NA
1941 NA     NA     NA     NA
1942 NA     NA     NA     NA
1943 NA     NA     NA     NA
1944 NA     NA     NA     NA
1945 NA     NA     NA     NA
1946 33.45  34.00  34.28  NA
1947 32.87  33.74  34.16  34.53 
1948 33.20  33.93  34.39  34.66 
1949 33.35  33.83  34.30  34.45 
1950 33.30  33.80  34.41  34.56 
1951 33.44  34.05  34.29  34.52 
1952 33.35  33.96  34.53  34.56 
1953 33.54  34.03  34.41  34.68 
1954 33.55  34.12  34.58  34.62 
1955 33.44  33.98  34.39  34.68 
1956 33.27  34.08  34.38  34.64 
1957 33.35  34.09  34.48  34.63 
1958 33.22  34.00  34.45  34.65 
1959 33.46  34.04  34.38  34.63 
1960 33.30  33.93  34.34  34.59 
1961 33.18  33.96  34.36  34.60 
1962 33.36  34.09  34.41  34.58 
1963 33.32  34.00  34.41  34.57 
1964 33.48  34.06  34.42  34.59 
1965 33.46  34.01  34.36  34.51 
1966 33.46  33.97  34.25  34.49 
1967 33.41  33.95  34.30  34.41 
1968 33.62  34.09  34.42  34.53 
1969 33.33  33.96  34.31  34.54 
1970 33.47  33.99  34.58  34.65 
1971 33.60  34.15  34.53  34.74 
1972 33.49  34.07  34.42  34.53 
1973 33.33  33.94  34.26  34.59 
1974 33.56  34.19  34.57  34.75 
1975 33.40  33.92  34.34  34.56 
1976 33.58  34.12  34.44  34.58 
1977 33.62  34.13  34.46  34.65 
1978 33.55  34.01  34.50  34.61 
1979 33.78  34.20  34.66  34.59 
1980 33.76  34.31  34.64  34.76 
1981 33.66  34.27  34.62  34.73 
1982 33.72  34.25  34.56  34.73 
1983 33.45  34.04  34.43  34.62 
1984 33.67  34.15  34.46  34.63 
1985 33.41  34.11  34.46  34.64 
1986 33.35  34.05  34.55  34.76 
1987 33.50  34.21  34.61  34.74 
1988 33.45  34.22  34.58  34.74 
1989 33.69  34.24  34.51  34.58 
1990 33.44  34.04  34.41  34.63 
1991 33.27  33.87  34.32  34.55 
1992 33.28  33.90  34.35  34.57 
1993 33.37  34.03  34.48  34.68 
1994 33.46  34.16  34.51  34.67 
1995 33.23  33.95  34.38  34.65 
1996 33.11  33.81  34.30  34.60 
1997 33.37  34.07  34.46  34.66 
1998 33.30  34.00  34.45  34.64 
1999 33.54  34.13  34.49  34.63 
2000 33.43  34.08  34.44  34.62 
2001 33.37  34.07  34.46  34.65 
2002 33.50  34.10  34.53  34.70 
2003 33.49  34.15  34.53  34.68 
2004 33.37  34.01  34.49  34.69 
2005 33.41  34.08  34.50  34.67 
2006 33.65  34.26  34.58  34.73 
2007 33.54  34.15  34.50  34.67 
2008 33.39  34.03  34.46  34.63 
2009 33.49  34.05  34.41  34.60 
2010 33.34  34.00  34.40  34.59 
2011 33.38  34.08  34.51  34.72 
2012 33.53  34.18  34.55  34.72 
2013 33.38  34.07  34.51  34.70 
2014 33.52  34.18  34.51  34.68 
2015 33.73  34.29  34.56  34.72 
2016 33.50  34.16  34.52  34.71 
2017 33.28  34.04  34.48  34.73 
2018 33.35  34.07  34.51  34.75 
2019 33.32  34.15  34.55  34.77 
2020 33.50  34.20  34.64  34.83 
2021 33.58  34.28  34.66  34.85 
2022 33.65  34.32  34.69  34.87 
2023 33.31  34.10  34.59  34.80 
