Year 150m  200m  250m  300m
1915 0.22  2.07  3.76  4.31 
1916 NA    NA    NA    NA
1917 NA    NA    NA    NA
1918 NA    NA    NA    NA
1919 NA    NA    NA    NA
1920 NA    NA    NA    NA
1921 NA    NA    NA    NA
1922 NA    NA    NA    NA
1923 -0.22 1.31  2.68  2.76 
1924 NA    NA    NA    NA
1925 NA    NA    NA    NA
1926 NA    NA    NA    NA
1927 NA    NA    NA    NA
1928 NA    NA    NA    NA
1929 NA    NA    NA    NA
1930 NA    0.93  3.36  3.43 
1931 NA    4.00  NA    3.70 
1932 1.61  2.44  2.60  4.05 
1933 1.76  2.92  1.10  3.99 
1934 1.57  3.03  3.70  4.04 
1935 2.08  3.51  3.52  4.21 
1936 NA    NA    NA    NA
1937 1.45  2.67  NA    3.14 
1938 NA    2.75  3.67  3.98 
1939 NA    NA    NA    NA
1940 NA    NA    NA    NA
1941 NA    NA    NA    NA
1942 NA    NA    NA    NA
1943 NA    NA    NA    NA
1944 NA    NA    NA    NA
1945 NA    NA    NA    NA
1946 2.02  3.35  4.08  NA
1947 0.98  3.28  4.47  5.11 
1948 1.46  3.43  4.50  5.14 
1949 1.85  3.09  4.52  4.64 
1950 1.36  3.18  4.19  5.03 
1951 1.45  3.41  4.06  4.68 
1952 2.17  3.70  4.62  4.60 
1953 2.81  4.04  5.11  5.10 
1954 2.63  4.39  4.90  5.09 
1955 2.00  3.76  4.60  4.77 
1956 1.76  3.90  4.75  4.98 
1957 1.89  4.10  4.85  5.17 
1958 1.66  4.53  5.40  5.32 
1959 2.48  3.66  4.75  4.95 
1960 1.71  3.69  4.57  4.87 
1961 1.31  3.57  4.53  4.81 
1962 1.64  3.80  4.53  4.70 
1963 1.41  3.47  4.49  4.67 
1964 1.87  3.62  4.43  4.42 
1965 1.74  3.49  4.24  4.41 
1966 1.72  3.27  3.94  4.18 
1967 2.06  3.35  4.19  4.11 
1968 2.62  3.91  4.13  4.32 
1969 2.50  3.92  4.48  4.56 
1970 3.00  4.06  4.91  4.67 
1971 2.95  4.22  4.75  4.89 
1972 2.59  4.26  4.90  4.96 
1973 2.37  4.14  4.79  5.17 
1974 2.04  4.33  4.99  5.06 
1975 1.86  3.72  4.83  5.19 
1976 2.66  4.14  4.80  5.15 
1977 2.75  4.90  5.68  5.58 
1978 2.87  4.14  5.17  5.43 
1979 3.83  5.13  5.58  5.74 
1980 3.54  5.25  5.97  6.18 
1981 3.47  5.07  5.73  5.66 
1982 2.94  4.54  5.36  5.50 
1983 2.47  4.17  5.15  5.41 
1984 2.93  4.58  5.27  5.38 
1985 2.77  4.95  5.66  5.86 
1986 2.37  4.77  5.77  5.96 
1987 2.21  4.73  5.68  5.65 
1988 2.46  4.82  5.63  5.65 
1989 2.82  4.71  5.42  5.47 
1990 2.17  4.14  5.09  5.34 
1991 1.48  3.43  4.73  5.17 
1992 1.43  3.33  4.66  5.12 
1993 1.92  3.93  5.04  5.43 
1994 2.32  4.45  5.48  5.85 
1995 1.71  3.87  5.14  5.57 
1996 1.74  3.67  4.89  5.44 
1997 2.36  4.53  5.42  5.68 
1998 2.20  4.21  5.25  5.37 
1999 3.12  4.70  5.35  5.47 
2000 2.95  4.63  5.35  5.54 
2001 2.67  4.66  5.45  5.61 
2002 2.97  4.74  5.58  5.66 
2003 2.58  4.68  5.57  5.72 
2004 2.28  4.25  5.47  5.68 
2005 2.62  4.39  5.36  5.53 
2006 3.37  4.94  5.49  5.54 
2007 2.70  4.68  5.43  5.51 
2008 2.16  4.20  5.24  5.43 
2009 2.53  4.19  5.05  5.29 
2010 2.45  4.19  5.10  5.39 
2011 2.82  4.49  5.41  5.66 
2012 3.38  5.03  5.70  5.87 
2013 2.98  4.83  5.70  5.85 
2014 3.41  5.35  5.87  5.95 
2015 4.04  5.59  6.06  6.09 
2016 3.55  5.34  6.11  6.30 
2017 2.76  5.02  6.05  6.40 
2018 2.96  5.05  6.13  6.49 
2019 3.09  5.45  6.33  6.60 
2020 3.71  5.72  6.60  6.84 
2021 4.16  6.01  6.75  6.91 
2022 4.54  6.25  6.95  7.07 
2023 3.67  5.72  6.70  6.91 
